Name,Genre
Super Mario Land 3: Wario Land,Platform
FIFA Soccer 13,Action
Diablo III,Role-Playing
Donkey Kong Country 2: Diddys Kong Quest,Platform
Medal of Honor: Rising Sun,Shooter
Kirbys Dream Land,Platform
Microsoft Flight Simulator,Simulation
Guitar Hero II,Misc
Fable III,Role-Playing
Mario & Sonic at the Olympic Games,Sports
Resident Evil 5,Action
The Legend of Zelda: Phantom Hourglass,Action
FIFA Soccer 11,Sports
Super Mario Bros.,Platform
The Last of Us,Action
Resident Evil,Action
Grand Theft Auto: Vice City Stories,Action
Tony Hawks Pro Skater,Sports
Warzone 2100,Strategy
Spyro the Dragon,Platform
Guitar Hero III: Legends of Rock,Misc
Links Crossbow Training,Shooter
Fallout 3,Role-Playing
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Role-Playing
Super Smash Bros. for Wii U and 3DS,Fighting
Uncharted: Drakes Fortune,Action
Madden NFL 06,Sports
Diddy Kong Racing,Racing
Monster Hunter Freedom 3,Role-Playing
StarCraft II: Wings of Liberty,Strategy
Dr. Mario,Puzzle
Assassins Creed,Adventure
God of War III,Action
Uncharted: The Nathan Drake Collection,Action
Crash Team Racing,Racing
LEGO Star Wars: The Complete Saga,Action
Driver 2,Action
Batman: Arkham City,Action
The Simpsons: Hit & Run,Racing
Tony Hawks Pro Skater 2,Sports
The Lord of the Rings: The Two Towers,Action
Tomb Raider,Action
Animal Crossing: City Folk,Simulation
Luigis Mansion: Dark Moon,Action
Minecraft,Misc
Halo 5: Guardians,Shooter
The Legend of Zelda: A Link to the Past,Action
The Legend of Zelda: The Wind Waker,Action
Guitar Hero III: Legends of Rock,Misc
Forza Motorsport 4,Racing
Splatoon,Shooter
Mario & Sonic at the Olympic Winter Games,Sports
Madden NFL 2005,Sports
Guitar Hero III: Legends of Rock,Misc
The Legend of Zelda: Ocarina of Time,Action
Pitfall!,Platform
Madden NFL 07,Sports
Spider-Man: The Movie,Action
Super Mario 3D World,Platform
Dragon Quest VII: Warriors of Eden,Role-Playing
God of War,Action
Nintendo Land,Misc
Tony Hawks Pro Skater 3,Sports
Winning Eleven: Pro Evolution Soccer 2007,Sports
The Elder Scrolls IV: Oblivion,Role-Playing
Zelda II: The Adventure of Link,Adventure
Call of Duty: Advanced Warfare,Shooter
Fallout 4,Role-Playing
Need for Speed: Most Wanted,Racing
Michael Jackson: The Experience,Misc
Resistance: Fall of Man,Shooter
Sonic the Hedgehog,Platform
Kingdom Hearts II,Role-Playing
Call of Duty: Advanced Warfare,Shooter
Asteroids,Shooter
FIFA 15,Sports
Fable II,Role-Playing
Batman: Arkham Asylum,Action
Namco Museum,Misc
Metal Gear Solid 3: Snake Eater,Action
FIFA 14,Sports
Assassins Creed: Revelations,Action
Daxter,Platform
Warcraft II: Tides of Darkness,Strategy
FIFA Soccer 06,Sports
EyeToy Play,Misc
Assassins Creed: Revelations,Action
Gran Turismo 5 Prologue,Racing
FIFA 12,Sports
Teenage Mutant Ninja Turtles,Action
Street Fighter IV,Fighting
Excitebike,Racing
Frogger,Action
Madden NFL 2003,Sports
The Witcher 3: Wild Hunt,Role-Playing
Half-Life,Shooter
Super Mario World 2: Yoshis Island,Platform
FIFA Soccer 07,Sports
Street Fighter II Turbo,Fighting
Watch Dogs,Action
World of Warcraft: The Burning Crusade,Role-Playing
Batman: Arkham Knight,Action
God of War II,Action
Far Cry 4,Shooter
Fallout: New Vegas,Role-Playing
World Soccer Winning Eleven 9,Sports
Carnival Games,Misc
Forza Motorsport 2,Racing
Namco Museum Vol.3,Misc
Tekken Tag Tournament,Fighting
Star Fox 64,Shooter
Golf,Sports
Tom Clancys The Division,Shooter
Assassins Creed: Unity,Action
Namco Museum: 50th Anniversary,Misc
Left 4 Dead 2,Shooter
Fallout 3,Role-Playing
The Legend of Zelda: Skyward Sword,Action
Professor Layton and the Diabolical Box,Puzzle
The Elder Scrolls V: Skyrim,Role-Playing
Nintendogs + cats,Simulation
Monster Hunter 4 Ultimate,Role-Playing
Star Wars Battlefront (2015),Shooter
Donkey Kong Land,Platform
EA Sports Active,Sports
NBA 2K16,Sports
Tony Hawks Underground,Sports
Tekken 5,Fighting
Dragon Warrior III,Role-Playing
MotorStorm,Racing
World Soccer Winning Eleven 8 International,Sports
Sports Champions,Sports
Namco Museum Vol.1,Misc
Call of Duty: Ghosts,Shooter
The Legend of Zelda: Links Awakening,Action
Flash Focus: Vision Training in Minutes a Day,Misc
Big Brain Academy: Wii Degree,Misc
Resident Evil Directors Cut,Action
Mario & Luigi: Bowsers Inside Story,Role-Playing
LEGO Indiana Jones: The Original Adventures,Action
The Sims: Unleashed,Simulation
Ratchet & Clank: Size Matters,Platform
Harry Potter and the Sorcerers Stone,Action
Assassins Creed IV: Black Flag,Action
Mario & Sonic at the London 2012 Olympic Games,Sports
Resident Evil 3: Nemesis,Action
Super Paper Mario,Platform
Spyro: Year of the Dragon,Platform
FIFA Soccer 2005,Sports
Pok\xc3\xa9mon Trading Card Game,Strategy
Friend Collection,Misc
Tony Hawks Pro Skater 4,Sports
MySims,Simulation
Midnight Club 3: DUB Edition,Racing
Banjo-Kazooie,Platform
SOCOM: U.S. Navy SEALs,Shooter
Jak and Daxter: The Precursor Legacy,Platform
Pokemon Snap,Simulation
Pro Evolution Soccer 2008,Sports
Resident Evil 4,Action
FIFA Soccer 10,Sports
Guitar Hero: World Tour,Misc
Battlefield 4,Shooter
Star Wars: Battlefront,Shooter
Doom II: Hell on Earth,Shooter
The Simpsons: Road Rage,Racing
Luigis Mansion,Action
Just Dance 2014,Misc
Star Wars: Battlefront II,Shooter
Cooking Mama 2: Dinner With Friends,Simulation
WWF SmackDown!,Fighting
Croc: Legend of the Gobbos,Platform
Call of Duty: Infinite Warfare,Shooter
Assassins Creed: Unity,Action
Grand Theft Auto: Liberty City Stories,Action
The Getaway,Action
Tomb Raider III: Adventures of Lara Croft,Action
James Bond 007: Agent Under Fire,Shooter
LEGO Star Wars: The Video Game,Action
Rugrats in Paris: The Movie,Action
FIFA Soccer 11,Sports
Spyro 2: Riptos Rage!,Platform
Left 4 Dead,Shooter
Donkey Kong Country 3: Dixie Kongs Double Trouble!,Platform
Resident Evil 5,Action
Kung Fu,Action
Assassins Creed: Brotherhood,Action
Battlefield 4,Shooter
FIFA Soccer 2004,Sports
Battlefield 4,Shooter
Batman: Arkham Asylum,Action
Battlefield: Bad Company 2,Shooter
Gears of War: Ultimate Edition,Shooter
Mario & Sonic at the Olympic Winter Games,Sports
Guitar Hero: On Tour,Misc
Clubhouse Games,Misc
Borderlands,Shooter
Monster Hunter 4,Role-Playing
Assassins Creed Syndicate,Action
Tekken 4,Fighting
Battlefield 1,Shooter
Metal Gear Solid V: The Phantom Pain,Action
Final Fantasy III,Role-Playing
Grand Theft Auto 2,Action
Spider-Man 2,Action
F-1 Race,Racing
LittleBigPlanet 2,Platform
LEGO Batman: The Videogame,Action
FIFA Soccer 2003,Sports
Crash Bash,Misc
Destiny,Shooter
Monster Hunter X,Action
Final Fantasy XV,Role-Playing
WWF War Zone,Fighting
The Legend of Zelda: Majoras Mask,Action
Far Cry 3,Shooter
Rugrats: Search For Reptar,Adventure
Yokai Watch 2 Ganso/Honke,Role-Playing
English Training: Have Fun Improving Your Skills!,Misc
James Bond 007: Nightfire,Shooter
Ratchet & Clank,Platform
Star Wars Episode III: Revenge of the Sith,Action
The Legend of Zelda: Spirit Tracks,Action
Max Payne,Shooter
Halo: The Master Chief Collection,Shooter
Assassins Creed IV: Black Flag,Action
Minecraft,Misc
The Lord of the Rings: The Return of the King,Action
Super Mario Maker,Platform
Gran Turismo 6,Racing
True Crime: Streets of LA,Action
Professor Layton and the Unwound Future,Puzzle
FIFA 16,Sports
Gran Turismo (PSP),Racing
Madden NFL 16,Sports
Wii Music,Misc
Tekken,Fighting
FIFA 17,Sports
The Sims 4,Simulation
007: Tomorrow Never Dies,Shooter
Baseball,Sports
WWF SmackDown! 2: Know Your Role,Fighting
Killer Instinct,Fighting
Dragon Quest VI: Maboroshi no Daichi,Role-Playing
God of War: Chains of Olympus,Action
L.A. Noire,Adventure
Enter the Matrix,Action
Crisis Core: Final Fantasy VII,Role-Playing
Dance Central,Misc
Ace Combat 04: Shattered Skies,Simulation
Animal Crossing: Happy Home Designer,Simulation
Animal Crossing,Simulation
FIFA Soccer 08,Sports
Mario Party 9,Misc
Club Penguin: Elite Penguin Force,Adventure
Spider-Man,Action
The Legend of Zelda: A Link Between Worlds,Action
Need for Speed III: Hot Pursuit,Racing
Star Wars Episode I Racer,Racing
Sonic Rush,Platform
Fallout: New Vegas,Role-Playing
Dragon Warrior IV,Role-Playing
Personal Trainer: Cooking,Misc
Rhythm Heaven,Misc
The Elder Scrolls IV: Oblivion,Role-Playing
Resident Evil 6,Shooter
Mass Effect 2,Role-Playing
Dragon Ball Z: Budokai,Fighting
Madden NFL 2002,Sports
World Class Track Meet,Sports
Donkey Kong,Platform
The Sims: Vacation,Simulation
LEGO Batman: The Videogame,Action
LEGO Batman: The Videogame,Action
Borderlands 2,Shooter
Kung Fu Panda,Action
Mass Effect 3,Role-Playing
Saints Row 2,Action
Heavy Rain,Adventure
Rayman,Platform
Tom Clancys Splinter Cell,Action
FIFA 14,Sports
Mike Tysons Punch-Out!!,Fighting
WWE SmackDown! Shut Your Mouth,Sports
NBA 2K13,Sports
Killzone 2,Shooter
Far Cry 3,Shooter
Epic Mickey,Platform
Dragon Ball Z: Budokai Tenkaichi 3,Fighting
wwe Smackdown vs. Raw 2006,Fighting
Star Fox,Shooter
The Sims: Livin Large,Misc
World Soccer Winning Eleven 6 International,Sports
Devil May Cry,Action
Middle-Earth: Shadow of Mordor,Action
Star Wars: The Old Republic,Role-Playing
Titanfall,Shooter
Sonic Heroes,Platform
Hitman 2: Silent Assassin,Action
Battlefield: Bad Company 2,Shooter
Wave Race 64,Racing
SOCOM II: U.S. Navy SEALs,Shooter
WWE SmackDown! vs. RAW 2006,Fighting
Street Fighter IV,Fighting
Pac-Man Collection,Puzzle
inFAMOUS,Action
Call of Duty: Ghosts,Shooter
FIFA 15,Sports
Kirby Super Star Ultra,Platform
Super Mario World 2: Yoshis Island,Platform
Mass Effect,Role-Playing
Sonic Mega Collection Plus,Misc
World Soccer Winning Eleven 7 International,Sports
Sega Superstars Tennis,Sports
Hot Shots Golf 3,Sports
Cooking Mama: Cook Off,Simulation
WarioWare: Smooth Moves,Puzzle
Call of Duty: Finest Hour,Shooter
Syphon Filter,Shooter
Imagine: Babyz,Simulation
Colin McRae Rally,Racing
Mortal Kombat X,Fighting
Madden NFL 13,Sports
The Elder Scrolls III: Morrowind,Role-Playing
Assassins Creed IV: Black Flag,Action
Yoshis Story,Platform
F-Zero,Racing
Command & Conquer: Red Alert,Strategy
Mortal Kombat,Fighting
Madden NFL 10,Sports
WWE SmackDown! vs. Raw,Fighting
BioShock,Shooter
Metroid Prime,Shooter
Assassins Creed: Brotherhood,Action
Finding Nemo,Action
Zumba Fitness 2,Sports
Myst,Adventure
Medal of Honor,Shooter
Need for Speed: Most Wanted,Racing
Imagine: Fashion Designer,Simulation
inFAMOUS: Second Son,Action
WWE SmackDown! Here Comes the Pain,Fighting
Hot Shots Golf,Sports
A Bugs Life,Platform
WWF SmackDown! Just Bring It,Fighting
Dragon Quest V: Tenkuu no Hanayome,Role-Playing
Mortal Kombat Trilogy,Fighting
Monster Hunter Tri,Role-Playing
NBA Street,Sports
Jak II,Platform
Ratchet & Clank: Going Commando,Platform
Killzone 3,Shooter
Need for Speed: Hot Pursuit,Racing
Skylanders: Spyros Adventure,Action
Battlefield 3,Shooter
The Sims,Simulation
Star Wars: The Force Unleashed,Action
Saints Row: The Third,Action
Yoshis Island DS,Platform
Missile Command,Shooter
Mario Paint,Misc
Tekken 6,Fighting
Pok\xc3\xa9mon Stadium 2,Strategy
Sonic and the Secret Rings,Platform
Metroid,Action
FIFA 16,Sports
L.A. Noire,Adventure
The Legend of Zelda: A Link to the Past,Action
Onimusha: Warlords,Action
Mario Party,Misc
Call of Duty 3,Shooter
Madden NFL 12,Sports
LEGO Star Wars II: The Original Trilogy,Action
Killzone: Shadow Fall,Shooter
Madden NFL 11,Sports
Yokai Watch 2 Shinuchi,Role-Playing
Burnout 3: Takedown,Racing
Professor Layton and the Last Specter,Puzzle
Mortal Kombat,Fighting
Mario vs. Donkey Kong: Mini-Land Mayhem!,Puzzle
Call Of Duty 2: Big Red One,Shooter
Medal of Honor,Shooter
Skate 3,Sports
Fable,Role-Playing
Guitar Hero: World Tour,Misc
Hannah Montana,Action
Tom Clancys Splinter Cell,Action
Super Mario Bros.: The Lost Levels,Platform
Need for Speed: Shift,Racing
Star Wars: Shadows of the Empire,Action
Medal of Honor Heroes,Shooter
Final Fantasy XIII-2,Role-Playing
Midnight Club: Street Racing,Racing
Halo Wars,Strategy
NBA 2K12,Sports
ESPN NFL 2K5,Sports
FIFA Soccer 10,Sports
Medal of Honor,Shooter
Pac-Man: Adventures in Time,Fighting
Harry Potter and the Chamber of Secrets,Action
Streets of Rage,Action
God of War Collection,Action
LEGO Star Wars: The Complete Saga,Action
NBA Live 2005,Sports
FIFA Soccer 09,Sports
Mario Strikers Charged,Sports
Style Savvy,Simulation
Super Mario All-Stars: Limited Edition,Platform
WWE SmackDown vs. RAW 2007,Fighting
Bloodborne,Action
Ratchet & Clank: Up Your Arsenal,Platform
Madden NFL 08,Sports
Overwatch,Shooter
Monster Hunter Freedom 2,Role-Playing
Madden NFL 13,Sports
Ghostbusters: The Video Game (DS Version),Action
Ratchet & Clank Future: Tools of Destruction,Platform
Sonic Adventure 2 Battle,Platform
Dragon Warrior II,Role-Playing
Dragon Age: Origins,Role-Playing
LittleBigPlanet,Platform
Pok\xc3\xa9mon Colosseum,Role-Playing
Madden NFL 09,Sports
Space Invaders,Shooter
Skylanders Giants,Action
NBA 2K14,Sports
Art Academy,Misc
Crazy Taxi,Racing
Perfect Dark,Action
Dragon Warrior,Role-Playing
Need for Speed (2015),Racing
Deca Sports,Sports
PES 2009: Pro Evolution Soccer,Sports
Mario Party 2,Misc
Marvel: Ultimate Alliance,Role-Playing
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Action
Mortal Kombat: Deadly Alliance,Fighting
Game Party,Misc
Tomb Raider: The Last Revelation,Action
Mario Party 4,Misc
Pure,Racing
Rock Band,Misc
NBA 2K13,Sports
Saints Row: The Third,Action
Resistance 2,Shooter
NBA 2K15,Sports
Midnight Club: Los Angeles,Racing
Final Fantasy Tactics,Role-Playing
Final Fantasy V,Role-Playing
Twisted Metal 2,Racing
LEGO Harry Potter: Years 1-4,Action
The Sims: Bustin Out,Simulation
Madden NFL 16,Sports
Riven: The Sequel to Myst,Adventure
uDraw Studio,Misc
Sonic Adventure,Platform
Ice Hockey,Sports
Tom Clancys Rainbow Six: Vegas 2,Shooter
Tomb Raider (2013),Action
Need for Speed Carbon: Own the City,Racing
Dragon Ball Z: Budokai 2,Fighting
pro evolution soccer 2011,Sports
ATV Offroad Fury,Racing
Dino Crisis,Action
Need for Speed: ProStreet,Racing
Halo: Combat Evolved Anniversary,Shooter
Tetris Plus,Puzzle
Pro Wrestling,Fighting
Theme Hospital,Strategy
Froggers Adventures: Temple of the Frog,Adventure
Madden NFL 11,Sports
Monopoly,Misc
NBA 2K17,Sports
Guitar Hero,Misc
WCW/nWo Revenge,Fighting
The Legend of Zelda: Majoras Mask 3D,Action
Far Cry: Primal,Action
Yu-Gi-Oh! The Duelists of the Roses,Misc
Dead Island,Action
Half-Life 2,Shooter
The Incredibles,Action
Zumba Fitness,Sports
Madden NFL 08,Sports
Tony Hawks Underground 2,Sports
NBA 2K16,Sports
Madden NFL 10,Sports
Kirbys Dream Land 2,Platform
Midnight Club: Los Angeles,Racing
Donkey Kong Land II,Platform
Dragon Warrior Monsters,Role-Playing
Kinect: Disneyland Adventures,Misc
Guild Wars 2,Action
WWE SmackDown vs Raw 2008,Fighting
LEGO Indiana Jones: The Original Adventures,Action
Resident Evil - Code: Veronica X,Action
Kinect Sports: Season Two,Sports
Paper Mario: Sticker Star,Role-Playing
Madden NFL 17,Sports
My Fitness Coach,Sports
Mario Tennis,Sports
Grand Theft Auto,Action
James Bond 007: Everything or Nothing,Shooter
Need For Speed: High Stakes,Racing
Chrono Trigger,Role-Playing
Cool Boarders 3,Sports
Tom Clancys The Division,Shooter
Batman: Arkham Origins,Action
WarioWare Touched!,Puzzle
Yokai Watch Busters,Action
LEGO Star Wars: The Complete Saga,Action
Tomb Raider II,Action
Need for Speed Underground 2,Racing
LEGO Harry Potter: Years 1-4,Action
Pro Evolution Soccer 2010,Sports
Tom Clancys Rainbow Six: Siege,Shooter
The Sims 3,Simulation
Mario Bros.,Platform
FIFA Soccer 09,Sports
Pokemon Ranger: Shadows of Almia,Role-Playing
TOCA Touring Car Championship,Racing
Sonics Ultimate Genesis Collection,Misc
Dead Island,Action
Kirby: Nightmare in Dream Land,Platform
Wario Land 4,Platform
Madden NFL 25,Sports
Yokai Watch,Role-Playing
Gears of War 4,Shooter
Forza Motorsport 5,Racing
Onimusha 2: Samurais Destiny,Adventure
Madden NFL 12,Sports
Cool Boarders 2,Sports
Paper Mario: The Thousand-Year Door,Role-Playing
LEGO Marvel Super Heroes,Action
God of War: Ascension,Action
Guitar Hero III: Legends of Rock,Misc
Sonic Advance,Platform
Assassins Creed IV: Black Flag,Action
Super Monkey Ball: Banana Blitz,Misc
Just Dance Kids,Misc
Call of Duty 3,Shooter
New Super Luigi U,Platform
Dissidia: Final Fantasy,Fighting
Spyro: Season of Ice,Platform
Borderlands 2,Shooter
Teenage Mutant Ninja Turtles II: The Arcade Game,Action
Dance Dance Revolution X2,Simulation
Prince of Persia: The Sands of Time,Action
Monster Hunter Tri,Role-Playing
The Legend of Zelda: Links Awakening DX,Adventure
Resident Evil 4,Action
Star Wars: The Force Unleashed,Action
Devil May Cry 3: Dantes Awakening Special Edition,Action
Guitar Hero II,Misc
Frogger,Action
Rock Band 2,Misc
Need for Speed: Hot Pursuit,Racing
Pro Yakyuu Family Stadium,Sports
Wario Land 3,Platform
LEGO Indiana Jones: The Original Adventures,Action
Madden NFL 15,Sports
BioShock 2,Shooter
High School Musical: Makin the Cut!,Puzzle
Star Wars: Knights of the Old Republic,Role-Playing
Donkey Kong Country,Platform
Kirbys Pinball Land,Misc
Pro Evolution Soccer 2012,Action
Saints Row,Action
FIFA 15,Sports
Yu-Gi-Oh: Duel Monsters 4,Role-Playing
ATV Offroad Fury 2,Racing
Mario & Luigi: Superstar Saga,Role-Playing
DriveClu,Racing
Star Wars: Rogue Squadron,Simulation
Tennis,Sports
Final Fantasy XIII,Role-Playing
Skylanders SWAP Force,Platform
Scribblenauts,Puzzle
The Sims: House Party,Simulation
Sonic Unleashed,Platform
Syphon Filter 2,Shooter
Pokemon Ranger,Role-Playing
Volleyball,Sports
Hitman: Absolution,Action
Dying Light,Action
R.C. Pro-Am,Racing
Mahjong,Misc
Super Mario RPG: Legend of the Seven Stars,Role-Playing
SimCity 2000,Simulation
Demon Attack,Shooter
Call of Duty: Roads to Victory,Shooter
Your Shape featuring Jenny McCarthy,Sports
Dance Dance Revolution Extreme,Simulation
Final Fantasy Tactics Advance,Role-Playing
Project Gotham Racing,Racing
Golf,Sports
NBA 2K12,Sports
Minecraft,Misc
NBA 2K14,Sports
Battlefield: Hardline,Shooter
Tony Hawks Pro Skater,Sports
Need for Speed: Hot Pursuit 2,Racing
PES 2009: Pro Evolution Soccer,Sports
Dynasty Warriors 4,Action
Mortal Kombat,Fighting
Mario & Luigi: Dream Team,Role-Playing
Parasite Eve,Role-Playing
Tetris DS,Puzzle
NBA 2K11,Action
Borderlands,Shooter
Project Gotham Racing (JP weekly sales),Action
Scooby-Doo! Night of 100 Frights,Platform
Devil May Cry 3: Dantes Awakening,Action
Derby Stallion,Sports
Finding Nemo,Action
Dead Rising,Action
World of Warcraft: Cataclysm,Role-Playing
Tetris Worlds,Puzzle
Final Fantasy III,Role-Playing
Sim Theme Park,Strategy
Madden NFL 15,Sports
Mario Party 5,Misc
Rock Band,Misc
Warcraft: Orcs & Humans,Strategy
Portal 2,Shooter
Mario Sports Mix,Sports
Need for Speed: Most Wanted 5-1-0,Racing
Spec Ops: Airborne Commando,Shooter
The Sims 2: Pets,Simulation
Dance Dance Revolution: Hottest Party,Simulation
Mafia III,Action
Yu-Gi-Oh! The Eternal Duelist Soul,Strategy
UFC 2009 Undisputed,Fighting
Metal Gear Solid: Peace Walker,Action
Kirbys Epic Yarn,Platform
Wipeout: The Game,Misc
Pokemon Mystery Dungeon: Red/Blue Rescue Team,Role-Playing
The Incredibles,Action
Ghostbusters: The Video Game (DS Version),Action
Kingdom Hearts: Birth by Sleep,Role-Playing
R4: Ridge Racer Type 4,Racing
Tom Clancys Splinter Cell: Conviction,Action
SoulCalibur II,Fighting
Need for Speed: ProStreet,Racing
Sonic Mega Collection,Misc
Need For Speed: Undercover,Racing
Toy Story 3: The Video Game,Action
NBA Jam,Sports
Call of Duty 2,Shooter
Mario Party: Island Tour,Misc
SOCOM: U.S. Navy SEALs: Combined Assault,Shooter
Peter Jacksons King Kong: The Official Game of the Movie,Action
Watch Dogs 2,Action
Need for Speed: ProStreet,Racing
Donkey Kong Country,Platform
Dance Central 2,Misc
PGR4 - Project Gotham Racing 4,Racing
Battlefield 4,Shooter
Carnival Games,Misc
